permittype,permit_type_desc,permit_number,permit_class_mapped,permit_class,work_class,condominium,permit_location,description,tcad_id,legal_description,applieddate,issue_date,day_issued,calendar_year_issued,fiscal_year_issued,issued_in_last_30_days,issue_method,status_current,statusdate,expiresdate,completed_date,remodel_repair_sqft,number_of_floors,housing_units,original_address1,original_city,original_state,original_zip,council_district,jurisdiction,link,project_id,latitude,longitude,location,certificate_of_occupancy,total_valuation_remodel,total_job_valuation,building_valuation_remodel,electrical_valuation_remodel,mechanical_valuation_remodel,plumbing_valuation_remodel,masterpermitnum,total_existing_bldg_sqft,total_new_add_sqft,total_lot_sq_ft,electrical_valuation
BP,Building Permit,2019-211147 BP,Residential,R- 435 Renovations/Remodel,Repair,No,1628 CATTLE TRL,Wheelchair ramp,0426190619,LOT 19 BLK A TEXAS OAKS II,2019-10-22T00:00:00.000,2019-10-24T00:00:00.000,THURSDAY,2019,2020,No,Permit Center,Final,2019-12-05T00:00:00.000,2019-12-05T00:00:00.000,2019-12-05T00:00:00.000,1,1,1,1628 CATTLE TRL,AUSTIN,TX,78748,5,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12349074'},12349074,30.18007027,-97.81626851,"{'latitude': '30.18007027', 'longitude': '-97.81626851', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,800,800,800,0,0,0,12349073,,,,
BP,Building Permit,2019-211142 BP,Residential,R- 435 Renovations/Remodel,Repair,No,8420 FALL MEADOW LN,Wheelchair ramp,0336030906,LOT 6 BLK C SPRINGFIELD PHS C SUBD,2019-10-22T00:00:00.000,2019-10-24T00:00:00.000,THURSDAY,2019,2020,No,Permit Center,Final,2019-11-06T00:00:00.000,2019-11-06T00:00:00.000,2019-11-06T00:00:00.000,1,1,1,8420 FALL MEADOW LN,AUSTIN,TX,78747,2,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12349066'},12349066,30.15451373,-97.74248268,"{'latitude': '30.15451373', 'longitude': '-97.74248268', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,800,800,800,0,0,0,12349065,,,,
EP,Electrical Permit,2019-180742 EP,Residential,R- 435 Renovations/Remodel,Repair,No,5404 PEPPERTREE PKWY,replace roof for a metal roof replace attic access pull down stairs insulate attic repair leak under kitchen faucet replace hose bibs replace homeowner water shutoff replace kitchen faucet add smoke and Co detectors add GFI to kitchen and bath receptacles repair non functioning outlets and switches bring service panel up to code service mechanical equipment and repair/replace as needed add accessible front entrance weatherize exterior and replace rotting trim.,0418010616,LOT 3 BLK F PEPPERTREE PARK SEC 1,2019-09-06T00:00:00.000,2019-09-30T00:00:00.000,MONDAY,2019,2019,No,Permit Center,Final,2019-12-12T00:00:00.000,2019-12-12T00:00:00.000,2019-12-12T00:00:00.000,1,1,1,5404 PEPPERTREE PKWY,AUSTIN,TX,78744,2,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12314232'},12314232,30.19729932,-97.7530534,"{'latitude': '30.19729932', 'longitude': '-97.7530534', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,1500,,,12314231,,,,
EP,Electrical Permit,2019-176062 EP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,7103 VALBURN DR,Interior remodel. Demolition of internal non-load bearing walls in the first and second floor per Engineers letter. Eliminating sink bar and kitchen island. Relocation of dishwasher plumbing. Relocation of washer plumbing in utility room. Demo walls in all bathrooms in first floor. Removing one of two the doors in each bathroom in the second floor and infill with new walls. Replace handrail in the second floor. New doors same size. New windows same size and location in the Family room and in the Kitchen area. New windows same size and location per Revision 1 plans. Adjusting location of lights and outlets in bedrooms bathrooms living rooms and kitchen areas.,0143090136,LOT 6&7 NORTH CAT MOUNTAIN PHS 2 SEC C,2019-08-14T00:00:00.000,2019-10-08T00:00:00.000,TUESDAY,2019,2020,No,Permit Center,Final,2020-07-15T00:00:00.000,2020-07-15T00:00:00.000,2020-07-15T00:00:00.000,110,2,1,7103 VALBURN DR,AUSTIN,TX,78731,10,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12308811'},12308811,30.36796622,-97.78140092,"{'latitude': '30.36796622', 'longitude': '-97.78140092', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,5000,,,12308808,0,0,,
MP,Mechanical Permit,2019-154584 MP,Residential,R- 101 Single Family Houses,New,No,7012 ZACHARY DR,New 1-story single family residence to have (4) bedrooms (1.5) bathrooms covered front porch and rear covered patio. *GREEN BUILDING*SMART HOUSING 100% FEES WAIVED*Revision #1: altering/widening driveway/approach. Reducing size of private sidewalk; altering exterior visitability route.,0221330753,LOT 25 BLK C SCENIC POINT SUBD PHS 2,2019-07-12T00:00:00.000,2019-09-30T00:00:00.000,MONDAY,2019,2019,No,Permit Center,Final,2019-12-19T00:00:00.000,2019-12-19T00:00:00.000,2019-12-19T00:00:00.000,,1,1,7012 ZACHARY DR,AUSTIN,TX,78724,1,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12283381'},12283381,30.30594043,-97.64664844,"{'latitude': '30.30594043', 'longitude': '-97.64664844', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,,,,12283377,,1406,,
BP,Building Permit,2019-170303 BP,Residential,R- 435 Renovations/Remodel,Repair,No,6812 SUENA DR,Wheelchair Ramp,0307171015,LOT 15 BLK C VILLA SUENA SEC 2,2019-08-16T00:00:00.000,2019-08-29T00:00:00.000,THURSDAY,2019,2019,No,Permit Center,Final,2020-02-04T00:00:00.000,2020-02-04T00:00:00.000,2020-02-04T00:00:00.000,1,1,1,6812 SUENA DR,AUSTIN,TX,78741,3,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12301928'},12301928,30.23091474,-97.69238169,"{'latitude': '30.23091474', 'longitude': '-97.69238169', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,1000,1000,1000,0,0,0,12301921,,,,
BP,Building Permit,2019-180742 BP,Residential,R- 435 Renovations/Remodel,Repair,No,5404 PEPPERTREE PKWY,replace roof for a metal roof replace attic access pull down stairs insulate attic repair leak under kitchen faucet replace hose bibs replace homeowner water shutoff replace kitchen faucet add smoke and Co detectors add GFI to kitchen and bath receptacles repair non functioning outlets and switches bring service panel up to code service mechanical equipment and repair/replace as needed add accessible front entrance weatherize exterior and replace rotting trim.,0418010616,LOT 3 BLK F PEPPERTREE PARK SEC 1,2019-09-06T00:00:00.000,2019-09-06T00:00:00.000,FRIDAY,2019,2019,No,Permit Center,Final,2019-12-16T00:00:00.000,2019-12-16T00:00:00.000,2019-12-16T00:00:00.000,1,1,1,5404 PEPPERTREE PKWY,AUSTIN,TX,78744,2,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12314231'},12314231,30.19729932,-97.7530534,"{'latitude': '30.19729932', 'longitude': '-97.7530534', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,15000,15000,8500,3000,1500,2000,12314209,,,,
PP,Plumbing Permit,2019-167626 PP,Residential,R- 435 Renovations/Remodel,Repair,No,4610 SHERWYN DR,"install new exterior front door same size 
tub to shower conversion and ADA ramp",0213281214,LOT 26 BLK D CRAIGWOOD SEC 2,2019-07-22T00:00:00.000,2019-08-21T00:00:00.000,WEDNESDAY,2019,2019,No,Permit Center,Final,2019-09-04T00:00:00.000,2019-09-04T00:00:00.000,2019-09-04T00:00:00.000,1,1,1,4610 SHERWYN DR,AUSTIN,TX,78725,1,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12298766'},12298766,30.281519,-97.66095497,"{'latitude': '30.281519', 'longitude': '-97.66095497', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,,,0,12284071,,,,
BP,Building Permit,2019-170173 BP,Residential,R- 435 Renovations/Remodel,Repair,No,905 W LIVE OAK ST,50 Handicap Ramp,0402040221,LOT 7 BLK 10 BOULDIN SOUTH EXTENSION PLUS 1/2 ADJ VAC ALLEY,2019-08-16T00:00:00.000,2019-08-29T00:00:00.000,THURSDAY,2019,2019,No,Permit Center,Final,2020-02-04T00:00:00.000,2020-02-04T00:00:00.000,2020-02-04T00:00:00.000,1,1,1,905 W LIVE OAK ST,AUSTIN,TX,78704,3,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12301768'},12301768,30.24574907,-97.76249755,"{'latitude': '30.24574907', 'longitude': '-97.76249755', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,1000,1000,1000,0,0,0,12301754,,,,
PP,Plumbing Permit,2019-176062 PP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,7103 VALBURN DR,Interior remodel. Demolition of internal non-load bearing walls in the first and second floor per Engineers letter. Eliminating sink bar and kitchen island. Relocation of dishwasher plumbing. Relocation of washer plumbing in utility room. Demo walls in all bathrooms in first floor. Removing one of two the doors in each bathroom in the second floor and infill with new walls. Replace handrail in the second floor. New doors same size. New windows same size and location in the Family room and in the Kitchen area.,0143090136,LOT 6&7 NORTH CAT MOUNTAIN PHS 2 SEC C,2019-08-14T00:00:00.000,2019-09-10T00:00:00.000,TUESDAY,2019,2019,No,Permit Center,Final,2020-07-16T00:00:00.000,2020-07-16T00:00:00.000,2020-07-16T00:00:00.000,110,2,1,7103 VALBURN DR,AUSTIN,TX,78731,10,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12308812'},12308812,30.36796622,-97.78140092,"{'latitude': '30.36796622', 'longitude': '-97.78140092', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,,,0,12308808,0,0,,
BP,Building Permit,2019-176062 BP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,7103 VALBURN DR,Interior remodel. Demolition of internal non-load bearing walls in the first and second floor per Engineers letter. Eliminating sink bar and kitchen island. Relocation of dishwasher plumbing. Relocation of washer plumbing in utility room. Demo walls in all bathrooms in first floor. Removing one of two the doors in each bathroom in the second floor and infill with new walls. Replace handrail in the second floor. New doors same size. New windows same size and location in the Family room and in the Kitchen area.  New windows same size and location per Revision 1 plans. Adjusting location of lights and outlets in bedrooms bathrooms living rooms and kitchen areas.,0143090136,LOT 6&7 NORTH CAT MOUNTAIN PHS 2 SEC C,2019-08-14T00:00:00.000,2019-08-29T00:00:00.000,THURSDAY,2019,2019,No,Permit Center,Final,2020-07-16T00:00:00.000,2020-07-16T00:00:00.000,2020-07-16T00:00:00.000,110,2,1,7103 VALBURN DR,AUSTIN,TX,78731,10,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12308808'},12308808,30.36796622,-97.78140092,"{'latitude': '30.36796622', 'longitude': '-97.78140092', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,0,38000,0,0,0,0,12299166,,0,0,
BP,Building Permit,2019-150668 BP,Residential,R- 435 Renovations/Remodel,Repair,No,909 E 54TH ST,Wheelchair Ramp,0223120605,LOT 10 BLK 2 MORNINGSIDE ADDN,2019-07-15T00:00:00.000,2019-07-26T00:00:00.000,FRIDAY,2019,2019,No,Permit Center,Final,2019-08-06T00:00:00.000,2019-08-06T00:00:00.000,2019-08-06T00:00:00.000,1,1,1,909 E 54TH ST,AUSTIN,TX,78751,4,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12278921'},12278921,30.31443669,-97.71202318,"{'latitude': '30.31443669', 'longitude': '-97.71202318', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,8000,8000,8000,0,0,0,12278912,,,,
BP,Building Permit,2019-170305 BP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,2330 CHATEAU VILLAGE WAY,Addition/remodel of deck and ramp for ADA,0431080804,ABS 24 DELVALLE S ACR 90.1160,2019-06-14T00:00:00.000,2019-08-19T00:00:00.000,MONDAY,2019,2019,No,Permit Center,Final,2019-08-28T00:00:00.000,2019-08-28T00:00:00.000,2019-08-28T00:00:00.000,84,1,1,2330 CHATEAU VILLAGE WAY,AUSTIN,TX,78744,2,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12301930'},12301930,30.17337761,-97.76717043,"{'latitude': '30.17337761', 'longitude': '-97.76717043', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Yes,3000,10000,3000,0,0,0,12260036,,400,0,
PP,Plumbing Permit,2019-154584 PP,Residential,R- 101 Single Family Houses,New,No,7012 ZACHARY DR,New 1-story single family residence to have (4) bedrooms (1.5) bathrooms covered front porch and rear covered patio. *GREEN BUILDING*SMART HOUSING 100% FEES WAIVED*Revision #1: altering/widening driveway/approach. Reducing size of private sidewalk; altering exterior visitability route.,0221330753,LOT 25 BLK C SCENIC POINT SUBD PHS 2,2019-07-12T00:00:00.000,2019-08-09T00:00:00.000,FRIDAY,2019,2019,No,Permit Center,Final,2019-12-19T00:00:00.000,2019-12-19T00:00:00.000,2019-12-19T00:00:00.000,,1,1,7012 ZACHARY DR,AUSTIN,TX,78724,1,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12283382'},12283382,30.30594043,-97.64664844,"{'latitude': '30.30594043', 'longitude': '-97.64664844', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,,,,12283377,,1406,,
EP,Electrical Permit,2019-154584 EP,Residential,R- 101 Single Family Houses,New,No,7012 ZACHARY DR,New 1-story single family residence to have (4) bedrooms (1.5) bathrooms covered front porch and rear covered patio. *GREEN BUILDING*SMART HOUSING 100% FEES WAIVED*Revision #1: altering/widening driveway/approach. Reducing size of private sidewalk; altering exterior visitability route.,0221330753,LOT 25 BLK C SCENIC POINT SUBD PHS 2,2019-07-12T00:00:00.000,2019-08-01T00:00:00.000,THURSDAY,2019,2019,No,Permit Center,Final,2019-11-21T00:00:00.000,2019-11-21T00:00:00.000,2019-11-21T00:00:00.000,,1,1,7012 ZACHARY DR,AUSTIN,TX,78724,1,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12283380'},12283380,30.30594043,-97.64664844,"{'latitude': '30.30594043', 'longitude': '-97.64664844', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,,,,12283377,,1406,,
PP,Plumbing Permit,2019-161747 PP,Residential,R- 435 Renovations/Remodel,Repair,No,710 SPRINGDALE RD,replace bathroom window tub to shower conversion ADA ramp,0202141112,LOT 8 OLT 17 DIV A PIPKIN ADDN NO 4,2019-08-02T00:00:00.000,2019-08-12T00:00:00.000,MONDAY,2019,2019,No,Permit Center,Final,2019-08-22T00:00:00.000,2019-08-22T00:00:00.000,2019-08-22T00:00:00.000,1,1,1,710 SPRINGDALE RD,AUSTIN,TX,78702,3,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12291841'},12291841,,,,No,,,,,,2000,12291840,,,,
BP,Building Permit,2019-161747 BP,Residential,R- 435 Renovations/Remodel,Repair,No,710 SPRINGDALE RD,replace bathroom window tub to shower conversion ADA ramp,0202141112,LOT 8 OLT 17 DIV A PIPKIN ADDN NO 4,2019-08-02T00:00:00.000,2019-08-02T00:00:00.000,FRIDAY,2019,2019,No,Permit Center,Final,2019-08-22T00:00:00.000,2019-08-22T00:00:00.000,2019-08-22T00:00:00.000,1,1,1,710 SPRINGDALE RD,AUSTIN,TX,78702,3,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12291840'},12291840,,,,No,7000,7000,5000,0,0,2000,12291830,,,,
MP,Mechanical Permit,2019-032620 MP,Residential,R- 101 Single Family Houses,New,No,808 THERESA AVE,"Expedited Review: New construction of a three story single family res. 3/4 with open attic loft space uncovered wood deck covered front porch attached garage and carport.

Revision 1: Revision to change house layout to be in compliance for a through lot. Revision to attach garage and carport to primary structure along with 3 ramp to the driveway. Third floor to be revised  to remove the bedroom portion and reconfigure the layout as open loft space per the inspector with detail being depicted for beam height. Driveway ribbon strip material to also be revised to be concrete.",0110050805,LOT 7 BLK 4 WASHINGTON HEIGHTS,2018-11-16T00:00:00.000,2019-07-29T00:00:00.000,MONDAY,2019,2019,No,Permit Center,Final,2020-07-20T00:00:00.000,2020-07-20T00:00:00.000,2020-07-20T00:00:00.000,,3,1,808 THERESA AVE,AUSTIN,TX,78703,9,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12147396'},12147396,30.28044706,-97.76578495,"{'latitude': '30.28044706', 'longitude': '-97.76578495', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,,,,12147390,,3477,,
EP,Electrical Permit,2019-144369 EP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,10615 SKYFLOWER DR,***Partial demo* Interior remodel. New handrails in stairway. New front door same opening. New window in the Kitchen area same opening. New sliding door at the Breakfast room  same opening. New free standing tub in Master Bath same location. Expand shower in Master Bath (36x60). New wall tiles mirrors.New Laundry stack washer and dryer. New flooring light fixtures new cabinetry tops new appliances new plumbing fixture.  Demo closet walls in the Kitchen area to place new cabinetry. No other changes to the existing walls layout. See expanded description of the project***.,0162071010,LOT 3 BLK A GREAT HILLS SEC XXIII PHS 2,2019-06-17T00:00:00.000,2019-08-16T00:00:00.000,FRIDAY,2019,2019,No,Permit Center,Final,2020-01-09T00:00:00.000,2020-01-09T00:00:00.000,2020-01-09T00:00:00.000,2800,2,1,10615 SKYFLOWER DR,AUSTIN,TX,78759,10,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12271511'},12271511,30.4170758,-97.77641014,"{'latitude': '30.4170758', 'longitude': '-97.77641014', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,0,,,12271501,0,0,,
BP,Building Permit,2019-154584 BP,Residential,R- 101 Single Family Houses,New,No,7012 ZACHARY DR,New 1-story single family residence to have (4) bedrooms (1.5) bathrooms covered front porch and rear covered patio. *GREEN BUILDING*SMART HOUSING 100% FEES WAIVED*Revision #1: altering/widening driveway/approach. Reducing size of private sidewalk; altering exterior visitability route.,0221330753,LOT 25 BLK C SCENIC POINT SUBD PHS 2,2019-07-12T00:00:00.000,2019-07-23T00:00:00.000,TUESDAY,2019,2019,No,Permit Center,Final,2020-01-09T00:00:00.000,2020-01-09T00:00:00.000,2020-01-09T00:00:00.000,,1,1,7012 ZACHARY DR,AUSTIN,TX,78724,1,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12283377'},12283377,30.30594043,-97.64664844,"{'latitude': '30.30594043', 'longitude': '-97.64664844', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Yes,,85000,,,,,12277546,,1406,5000,
BP,Building Permit,2019-151063 BP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,8305 FORT SUMTER RD,*Partial demo* Addition of an accessory apartment to existing 1-story SFR with exterior ramp,0422210626,LOT 26 BLK L SHILOH PHS IV SEC 1,2019-02-11T00:00:00.000,2019-07-18T00:00:00.000,THURSDAY,2019,2019,No,Permit Center,Expired,2020-01-15T00:00:00.000,2020-01-14T00:00:00.000,,0,1,1,8305 FORT SUMTER RD,AUSTIN,TX,78745,5,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12279379'},12279379,30.19355578,-97.82500369,"{'latitude': '30.19355578', 'longitude': '-97.82500369', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Yes,0,40000,0,0,0,0,12134935,,558,14682,
BP,Building Permit,2019-155180 BP,Residential,R- 435 Renovations/Remodel,Repair,No,4610 SHERWYN DR,"install new exterior front door same size 
tub to shower conversion and ADA ramp",0213281214,LOT 26 BLK D CRAIGWOOD SEC 2,2019-07-22T00:00:00.000,2019-07-24T00:00:00.000,WEDNESDAY,2019,2019,No,Permit Center,Final,2019-09-05T00:00:00.000,2019-09-05T00:00:00.000,2019-09-05T00:00:00.000,1,1,1,4610 SHERWYN DR,AUSTIN,TX,78725,1,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12284071'},12284071,30.281519,-97.66095497,"{'latitude': '30.281519', 'longitude': '-97.66095497', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,2000,2000,2000,0,0,0,12283364,,,,
